All event log messages.
Date:	2018-03-18 10:55:39
System Name:	C11_R11_R12_05-101065
Controller Name:	192.168.0.11
Controller Id	05-101065

RobotWare: 6.03.02.00
Key:	
Options:	
	RobotWare Base
	687-1 Advanced Robot Motion
	613-1 Collision Detection
	709-1 DeviceNet Master/Slave
	689-1 Externally Guided Motion (EGM)
	617-1 FlexPendant Interface
	614-1 FTP and NFS client
	610-1 Independent Axis
	623-1 Multitasking
	604-1 MultiMove Coordinated
	612-1 Path Offset
	611-1 Path Recovery
	616-1 PC Interface
	888-2 PROFINET Controller/Device
	688-1 RobotStudio App Connect
	885-1 SoftMove
	603-1 Absolute Accuracy
	English
	608-1 World Zones
	976-1 T10 Jogging Device
	812-1 Production Manager

Robot1
Key:	
Options:	
	Drive System IRB 460/640/660/760/4600/66xx/6700
	IRB 4600-40/2.55 Type C
	ADU-790A in position X3
	ADU-790A in position Y3
	ADU-790A in position Z3

Robot2
Key:	
Options:	
	Drive System IRB 460/640/660/760/4600/66xx/6700
	IRB 4600-40/2.55 Type C
	ADU-790A in position Z3
	ADU-790A in position X3
	ADU-790A in position Y3

SAC
	Key:	
Options:	
	Standalone Controller
		XYZ with no TCP
			Standalone Controller
				XYZ with no TCP

Common log messages
SeqNo     	Type	Category            	Code    	Title                                   	Date                	Description	Arguments
534148    	W   	Motion              	50024   	Corner path failure                     	2018-03-17 14:30:03 	Task: T_ROB12.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A019_Features_12/r_A019_MovToStaPosPick/MoveAbsJ/81.	{args: "T_ROB12", "/A019_Features_12/r_A019_MovToStaPosPick/MoveAbsJ/81"}
534149    	I   	Operational         	10125   	Program stopped                         	2018-03-17 14:30:04 	The task T_ROB12 has stopped. The reason is that an external or internal stop has occurred. 	{args: "2", "T_ROB12"}
534150    	W   	Operational         	10095   	At least one task is unchecked in the task selection panel	2018-03-17 14:30:14 	One or more of the NORMAL tasks are unchecked in the task selection panel when performing a (re)start.	{args: }
534151    	I   	Operational         	10052   	Regain start                            	2018-03-17 14:30:14 	A regain movement has started.	{args: "0"}
534152    	I   	Operational         	10053   	Regain ready                            	2018-03-17 14:30:14 	The regain movement is ready.	{args: "0"}
534153    	I   	Operational         	10156   	Program restarted                       	2018-03-17 14:30:14 	Execution of task T_ROB12 has been restarted from where it was previously stopped. The originator is an external client.	{args: "2", "T_ROB12"}
534154    	E   	Motion              	50050   	Position outside reach                  	2018-03-17 14:30:15 	Position for ROB_2 joint 3 is outside working area. Joint 1-6 : Number of the axis which causes the error.Joint 23: Combination of axis 2 and 3 causes the error.	{args: "3", "ROB_2"}
534155    	I   	Operational         	10020   	Execution error state                   	2018-03-17 14:30:15 	The program execution in task T_ROB11 has been stopped due to a spontaneous error.	{args: "1", "T_ROB11"}
534156    	I   	Operational         	10020   	Execution error state                   	2018-03-17 14:30:15 	The program execution in task T_ROB12 has been stopped due to a spontaneous error.	{args: "2", "T_ROB12"}
534157    	I   	Operational         	10125   	Program stopped                         	2018-03-17 14:30:15 	The task T_MASTER has stopped. The reason is that an external or internal stop has occurred. 	{args: "3", "T_MASTER"}
534158    	I   	Operational         	10125   	Program stopped                         	2018-03-17 14:30:15 	The task SENDER has stopped. The reason is that an external or internal stop has occurred. 	{args: "4", "SENDER"}
534159    	I   	Operational         	10125   	Program stopped                         	2018-03-17 14:30:15 	The task RECEIVER has stopped. The reason is that an external or internal stop has occurred. 	{args: "5", "RECEIVER"}
534160    	I   	Operational         	10125   	Program stopped                         	2018-03-17 14:30:15 	The task T_ROB11 has stopped. The reason is that an external or internal stop has occurred. 	{args: "1", "T_ROB11"}
534161    	I   	Operational         	10125   	Program stopped                         	2018-03-17 14:30:15 	The task T_ROB12 has stopped. The reason is that an external or internal stop has occurred. 	{args: "2", "T_ROB12"}
534162    	I   	Operational         	10002   	Program pointer has been reset          	2018-03-17 14:30:42 	The program pointer of task T_ROB11 has been reset.	{args: "1", "0", "T_ROB11"}
534163    	I   	Operational         	10002   	Program pointer has been reset          	2018-03-17 14:30:42 	The program pointer of task T_ROB12 has been reset.	{args: "2", "0", "T_ROB12"}
534164    	I   	Operational         	10002   	Program pointer has been reset          	2018-03-17 14:30:42 	The program pointer of task T_MASTER has been reset.	{args: "3", "0", "T_MASTER"}
534165    	I   	Operational         	10002   	Program pointer has been reset          	2018-03-17 14:30:42 	The program pointer of task SENDER has been reset.	{args: "4", "0", "SENDER"}
534166    	I   	Operational         	10002   	Program pointer has been reset          	2018-03-17 14:30:42 	The program pointer of task RECEIVER has been reset.	{args: "5", "0", "RECEIVER"}
534167    	I   	Operational         	10021   	Execution error reset                   	2018-03-17 14:30:42 	 The program execution in task T_ROB11 has left a spontaneous error state. 	{args: "1", "T_ROB11"}
534168    	I   	Operational         	10021   	Execution error reset                   	2018-03-17 14:30:42 	 The program execution in task T_ROB12 has left a spontaneous error state. 	{args: "2", "T_ROB12"}
534169    	I   	Operational         	10002   	Program pointer has been reset          	2018-03-17 14:30:42 	The program pointer of task T_ROB11B has been reset.	{args: "6", "0", "T_ROB11B"}
534170    	I   	Operational         	10002   	Program pointer has been reset          	2018-03-17 14:30:42 	The program pointer of task T_ROB12B has been reset.	{args: "7", "0", "T_ROB12B"}
534171    	I   	Operational         	10152   	Program started                         	2018-03-17 14:30:57 	Execution of task SENDER has been started from the first instruction of the task's entry routine. The start order was initiated by an action causing the UNDO handler to execute.	{args: "4", "SENDER"}
534172    	I   	Operational         	10152   	Program started                         	2018-03-17 14:30:57 	Execution of task RECEIVER has been started from the first instruction of the task's entry routine. The start order was initiated by an action causing the UNDO handler to execute.	{args: "5", "RECEIVER"}
534173    	I   	Operational         	10133   	Program stopped                         	2018-03-17 14:30:57 	The task SENDER has stopped. The reason is that the task is ready with the execution of the UNDO handlers.	{args: "4", "SENDER"}
534174    	I   	Operational         	10133   	Program stopped                         	2018-03-17 14:30:57 	The task RECEIVER has stopped. The reason is that the task is ready with the execution of the UNDO handlers.	{args: "5", "RECEIVER"}
534175    	I   	Operational         	10002   	Program pointer has been reset          	2018-03-17 14:30:57 	The program pointer of task T_ROB11 has been reset.	{args: "1", "0", "T_ROB11"}
534176    	I   	Operational         	10002   	Program pointer has been reset          	2018-03-17 14:30:57 	The program pointer of task T_ROB12 has been reset.	{args: "2", "0", "T_ROB12"}
534177    	I   	Operational         	10002   	Program pointer has been reset          	2018-03-17 14:30:57 	The program pointer of task T_MASTER has been reset.	{args: "3", "0", "T_MASTER"}
534178    	I   	Operational         	10002   	Program pointer has been reset          	2018-03-17 14:30:57 	The program pointer of task SENDER has been reset.	{args: "4", "0", "SENDER"}
534179    	I   	Operational         	10002   	Program pointer has been reset          	2018-03-17 14:30:57 	The program pointer of task RECEIVER has been reset.	{args: "5", "0", "RECEIVER"}
534180    	I   	Operational         	10002   	Program pointer has been reset          	2018-03-17 14:30:57 	The program pointer of task T_ROB11B has been reset.	{args: "6", "0", "T_ROB11B"}
534181    	I   	Operational         	10002   	Program pointer has been reset          	2018-03-17 14:30:57 	The program pointer of task T_ROB12B has been reset.	{args: "7", "0", "T_ROB12B"}
534182    	W   	Operational         	10095   	At least one task is unchecked in the task selection panel	2018-03-17 14:31:08 	One or more of the NORMAL tasks are unchecked in the task selection panel when performing a (re)start.	{args: }
534183    	I   	Operational         	10052   	Regain start                            	2018-03-17 14:31:08 	A regain movement has started.	{args: "0"}
534184    	I   	Operational         	10053   	Regain ready                            	2018-03-17 14:31:08 	The regain movement is ready.	{args: "0"}
534185    	I   	Operational         	10151   	Program started                         	2018-03-17 14:31:08 	Execution of task T_ROB11 has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "1", "T_ROB11"}
534186    	I   	Operational         	10151   	Program started                         	2018-03-17 14:31:08 	Execution of task T_ROB12 has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "2", "T_ROB12"}
534187    	I   	Operational         	10151   	Program started                         	2018-03-17 14:31:08 	Execution of task T_MASTER has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "3", "T_MASTER"}
534188    	I   	Operational         	10151   	Program started                         	2018-03-17 14:31:08 	Execution of task SENDER has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "4", "SENDER"}
534189    	I   	Operational         	10151   	Program started                         	2018-03-17 14:31:08 	Execution of task RECEIVER has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "5", "RECEIVER"}
534190    	I   	User                	80003   	T_MASTER Speed Limit Off, done          	2018-03-17 14:31:09 	rLogMsg	{args: "T_MASTER Speed Limit Off, done", "rLogMsg"}
534191    	W   	Program             	41630   	Unsafe Synchronization                  	2018-03-17 14:31:09 	Task: T_ROB11.To reach safe synchronization functionality, variable idRFL_InitTaskEnd should be used only one time, not in several SyncMoveOn, SyncMoveOff or WaitSyncTask instructions. Program ref: /RFL_Control_11/rInitSpeed/WaitSyncTask/140.	{args: "T_ROB11", "idRFL_InitTaskEnd", "SyncMoveOn, SyncMoveOff", "WaitSyncTask", "/RFL_Control_11/rInitSpeed/WaitSyncTask/140"}
534192    	W   	Program             	41630   	Unsafe Synchronization                  	2018-03-17 14:31:09 	Task: T_ROB12.To reach safe synchronization functionality, variable idRFL_InitTaskEnd should be used only one time, not in several SyncMoveOn, SyncMoveOff or WaitSyncTask instructions. Program ref: /RFL_Control_12/rInitSpeed/WaitSyncTask/136.	{args: "T_ROB12", "idRFL_InitTaskEnd", "SyncMoveOn, SyncMoveOff", "WaitSyncTask", "/RFL_Control_12/rInitSpeed/WaitSyncTask/136"}
