All event log messages.
Date:	2017-03-31 09:18:20
System Name:	vController2
Controller Name:	ITA-GRAM-W-44
Controller Id	N/A

RobotWare: 6.04.01.00
Key:	
Options:	
	RobotWare Base
	709-1 DeviceNet Master/Slave
	888-2 PROFINET Controller/Device
	687-1 Advanced Robot Motion
	603-1 Absolute Accuracy
	608-1 World Zones
	610-1 Independent Axis
	611-1 Path Recovery
	612-1 Path Offset
	885-1 SoftMove
	613-1 Collision Detection
	614-1 FTP and NFS client
	616-1 PC Interface
	617-1 FlexPendant Interface
	623-1 Multitasking
	689-1 Externally Guided Motion (EGM)
	English
	976-1 T10 Jogging Device

Robot1
Key:	
Options:	
	Motor Commutation
	Service Info System
	Pendelum Calibration
	810-2 SafeMove
	Axis Calibration
	Drive System IRB 460/640/660/760/4600/66xx/6700
	IRB 4600-40/2.55 Type C
	ADU-790A in position X3

TrackMotion
	Key:	
Options:	
	IRBT 2005 Standard Carriage
		Robot Orientation 180 Degrees

Common log messages
SeqNo     	Type	Category            	Code    	Title                                   	Date                	Description	Arguments
1         	I   	Operational         	10046   	System reset                            	2017-03-22 02:24:42 	Loading the original system installation settings.	{args: }
2         	W   	Motion              	50465   	Tuning of robot stiffness parameters is recommended	2017-03-22 02:24:48 	No tuned system parameters for 'Motion Process Mode' on robot ROB_1 found.	{args: "ROB_1", "Mounting Stiffness"}
3         	I   	Operational         	10045   	System restarted                        	2017-03-22 02:24:49 	System was restarted.	{args: }
4         	W   	IO & Communication  	71503   	PROFINET station name error             	2017-03-22 02:24:51 	The network system parameter Station Name on the PROFINET network contains one or more illegal characters. The character at position 0 is not allowed.	{args: "0", "PROFINET"}
6         	W   	Motion              	50472   	Absolute accuracy data missing          	2017-03-22 02:24:53 	Absolute accuracy is activated but no data exists for robot ROB_1.	{args: "ROB_1"}
7         	W   	Motion              	50465   	Tuning of robot stiffness parameters is recommended	2017-03-22 02:24:53 	No tuned system parameters for 'Motion Process Mode' on robot ROB_1 found.	{args: "ROB_1", "Mounting Stiffness"}
8         	I   	Operational         	10002   	Program pointer has been reset          	2017-03-22 02:24:55 	The program pointer of task T_ROB1 has been reset.	{args: "1", "0", "T_ROB1"}
9         	I   	Operational         	10002   	Program pointer has been reset          	2017-03-22 02:24:55 	The program pointer of task PSC_CBC has been reset.	{args: "2", "0", "PSC_CBC"}
10        	I   	Operational         	10012   	Safety guard stop state                 	2017-03-22 02:25:00 	The system is in the Guard stop state. It enters this state either after switching from Automatic mode to Manual, or after the Motors ON circuit has been opened by an Emergency Stop, General Stop, Automatic Stop or Superior Stop, or in manual mode if enabling device was released.	{args: }
11        	I   	Operational         	10015   	Manual mode selected                    	2017-03-22 02:25:00 	The system is in the Manual mode.	{args: }
12        	I   	Operational         	10150   	Program started                         	2017-03-22 02:25:00 	Execution of task T_ROB1 has been started from the first instruction of the task's entry routine. The originator could not be determined.	{args: "1", "T_ROB1"}
13        	I   	Operational         	10150   	Program started                         	2017-03-22 02:25:00 	Execution of task PSC_CBC has been started from the first instruction of the task's entry routine. The originator could not be determined.	{args: "2", "PSC_CBC"}
14        	I   	Operational         	10129   	Program stopped                         	2017-03-22 02:25:00 	The task PSC_CBC has stopped. The reason is that the event routine for RESET or POWER_ON is ready.	{args: "2", "PSC_CBC"}
15        	I   	Operational         	10002   	Program pointer has been reset          	2017-03-22 02:25:00 	The program pointer of task T_ROB1 has been reset.	{args: "1", "0", "T_ROB1"}
16        	I   	Operational         	10150   	Program started                         	2017-03-22 02:25:00 	Execution of task PSC_CBC has been started from the first instruction of the task's entry routine. The originator could not be determined.	{args: "2", "PSC_CBC"}
17        	I   	Operational         	10129   	Program stopped                         	2017-03-22 02:25:00 	The task T_ROB1 has stopped. The reason is that the event routine for RESET or POWER_ON is ready.	{args: "1", "T_ROB1"}
